services.sandblasting.process.step1	Inspect the surface for rust, mill scale, or old coating, and mask off anything — hardware, threads, fittings — that needs to stay untouched
services.sandblasting.process.step2	Blast the surface with abrasive media until it's stripped back to clean, bare metal
services.sandblasting.process.step3	Clear blast residue and dust from every edge, corner, and cavity, then check the surface profile is right for what comes next
services.sandblasting.process.step4	Move straight into priming or powder coating before flash rust has any chance to set in
order.hub.intro	Pick a category, choose a design, and build it to your own dimensions, frame color, and materials. Every selection updates a live preview as you go — no guesswork, no back-and-forth over specs.
order.categoryTemplate.intro	Choose the design that fits your space — every option below can be customized to your own dimensions, color, and materials on the next step.
order.categoryTemplate.design1.blurb	A classic silhouette with clean lines — a versatile starting point for most spaces.
order.categoryTemplate.design2.blurb	A modern, minimal take with a lighter frame and simplified form.
order.categoryTemplate.design3.blurb	A more detailed design with added pattern work, for a decorative finish.
order.categories.tables.blurb	Our X-base dining and coffee tables — including nesting sets — built to your width, length, and height, with your choice of frame color and a top in steel, wood, glass, ceramic, or marble. Set up several at once and configure each one independently.
order.categories.chairs.blurb	Steel-framed chairs with upholstered seating on a black steel or wood-accented base, sized and finished to match your table or stand on their own. Choose your frame color and configure each chair in the order separately.
order.categories.bars.blurb	Bar-height steel pieces built to your dimensions, with the same frame-color and top-material choices as our tables — steel, wood, glass, ceramic, or marble — so your bar matches the rest of the set.
order.categories.gates.blurb	Laser-cut steel gates sized to your opening, from clean vertical-slat designs to ornate Greek-key trim panels finished with brass hardware. Choose your dimensions and frame color and we'll cut it to fit.
order.categories.doors.blurb	Custom steel doors built to your exact opening, with your choice of frame color and finish. Sized and specified the same way as our gates, for a matched look across an entrance.
order.categories.wallart.blurb	Laser-cut steel wall pieces made of multiple individual panels — pick a color for each piece and watch the full set update together in the live preview, so you can see exactly how the arrangement will look before it's built.
